
2018-02-10 05:56:14.000694261 +0000 UTC
2,528 as 1 1
2,524 as 1 2
2,523 as 1 3
2,424 as 2 1
2,382 as 2 2
2,369 as 2 3
2,235 na 1 1
2,224 na 1 2
2,211 na 1 3
2,219 na 2 1
2,208 na 2 2
2,208 na 2 3
2018-02-10 05:56:31.643083682 +0000 UTC
2,528 as 1 1
2,524 as 1 2
2,523 as 1 3
2,424 as 2 1
2,382 as 2 2
2,369 as 2 3
2,235 na 1 1
2,224 na 1 2
2,211 na 1 3
2,219 na 2 1
2,208 na 2 2
2,208 na 2 3
2018-02-10 05:57:00.109122077 +0000 UTC
2,528 as 1 1
2,524 as 1 2
2,523 as 1 3
2,424 as 2 1
2,382 as 2 2
2,369 as 2 3
2,235 na 1 1
2,224 na 1 2
2,211 na 1 3
2,219 na 2 1
2,208 na 2 2
2,208 na 2 3
2018-02-10 06:14:18.909455241 +0000 UTC
2,528 as 1 1
2,524 as 1 2
2,523 as 1 3
2,424 as 2 1
2,382 as 2 2
2,369 as 2 3
2,235 na 1 1
2,224 na 1 2
2,211 na 1 3
2,219 na 2 1
2,208 na 2 2
2,208 na 2 3
2018-02-10 06:18:33.850075351 +0000 UTC
2,528 as 1 1
2,524 as 1 2
2,523 as 1 3
2,424 as 2 1
2,382 as 2 2
2,369 as 2 3
2,235 na 1 1
2,224 na 1 2
2,211 na 1 3
2,219 na 2 1
2,208 na 2 2
2,208 na 2 3
